Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
214,574.15868,24000,7454,7531,9015,0,1.03E-11
215,578.79059,24154,7504,7575,9075,0,1.03E-11
216,583.52917,24293,7553,7615,9125,0,1.04E-11
217,588.27327,24454,7596,7667,9191,0,1.04E-11
218,592.99225,24599,7642,7706,9251,0,1.04E-11
219,597.76802,24732,7682,7743,9307,0,1.05E-11
220,602.64003,24854,7707,7777,9370,0,1.05E-11
221,607.40949,24994,7749,7818,9427,0,1.06E-11
222,612.15167,25146,7801,7864,9481,0,1.06E-11
223,617.04566,25317,7856,7924,9537,0,1.07E-11
224,621.89158,25429,7893,7959,9577,0,1.07E-11
225,626.70562,25567,7935,8006,9626,0,1.07E-11
226,631.65843,25709,7987,8038,9684,0,1.08E-11
227,636.68499,25857,8031,8076,9750,0,1.08E-11
228,641.62697,25985,8069,8109,9807,0,1.09E-11
229,646.47763,26142,8109,8164,9869,0,1.09E-11
230,651.45681,26283,8152,8207,9924,0,1.09E-11
231,656.33777,26395,8181,8247,9967,0,1.10E-11
232,661.34933,26512,8214,8282,10016,0,1.10E-11
233,666.30951,26652,8249,8327,10076,0,1.11E-11
234,671.34423,26800,8296,8372,10132,0,1.11E-11
235,676.33146,26943,8350,8397,10196,0,1.11E-11
236,681.37325,27085,8384,8444,10257,0,1.12E-11
237,686.5824,27218,8417,8495,10306,0,1.12E-11
238,691.62455,27360,8468,8538,10354,0,1.12E-11
239,696.70575,27522,8526,8583,10413,0,1.13E-11
240,701.9093,27672,8581,8628,10463,0,1.13E-11
241,707.08704,27803,8625,8668,10510,0,1.13E-11
242,712.21743,27930,8661,8701,10568,0,1.14E-11
243,717.31087,28077,8709,8742,10626,0,1.14E-11
244,722.37509,28223,8756,8787,10680,0,1.15E-11
245,727.60343,28353,8801,8818,10734,0,1.15E-11
246,732.86386,28519,8842,8870,10807,0,1.15E-11
247,738.19901,28674,8888,8911,10875,0,1.16E-11
248,743.52914,28828,8936,8965,10927,0,1.16E-11
