Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
166,275.66326,16988,5368,5501,6119,0,7.65E-12
167,278.49249,17130,5407,5537,6186,0,7.71E-12
168,281.21217,17288,5453,5580,6255,0,7.78E-12
169,284.05575,17445,5496,5621,6328,0,7.84E-12
170,286.97429,17596,5538,5660,6398,0,7.91E-12
171,289.88499,17729,5577,5699,6453,0,7.97E-12
172,292.68133,17885,5623,5753,6509,0,8.04E-12
173,295.45974,18040,5659,5806,6575,0,8.10E-12
174,298.42824,18191,5706,5852,6633,0,8.16E-12
175,301.3275,18346,5761,5891,6694,0,8.22E-12
176,304.12622,18535,5823,5947,6765,0,8.28E-12
177,307.08463,18701,5873,6001,6827,0,8.34E-12
178,309.99889,18855,5914,6045,6896,0,8.40E-12
179,312.88167,19006,5958,6080,6968,0,8.46E-12
180,315.84384,19155,6000,6124,7031,0,8.52E-12
181,318.80993,19284,6043,6160,7081,0,8.58E-12
182,321.78185,19431,6100,6196,7135,0,8.64E-12
183,324.68933,19590,6151,6248,7191,0,8.70E-12
184,327.57391,19717,6188,6292,7237,0,8.76E-12
185,330.58255,19867,6234,6340,7293,0,8.81E-12
186,333.51459,20004,6262,6383,7359,0,8.87E-12
187,336.4784,20133,6308,6413,7412,0,8.92E-12
188,339.47982,20284,6344,6460,7480,0,8.98E-12
189,342.50284,20410,6377,6498,7535,0,9.03E-12
190,345.46341,20556,6417,6542,7597,0,9.09E-12
191,348.46151,20704,6461,6591,7652,0,9.14E-12
192,351.53245,20850,6506,6638,7706,0,9.20E-12
193,354.55705,21009,6556,6683,7770,0,9.25E-12
194,357.59886,21169,6597,6736,7836,0,9.30E-12
195,360.63216,21325,6644,6780,7901,0,9.35E-12
196,363.67872,21461,6685,6819,7957,0,9.40E-12
197,366.72932,21623,6732,6872,8019,0,9.45E-12
198,369.76585,21749,6773,6902,8074,0,9.51E-12
199,372.83418,21883,6815,6942,8126,0,9.56E-12
200,375.97797,22022,6863,6979,8180,0,9.61E-12
201,379.13024,22168,6907,7021,8240,0,9.65E-12
202,382.33227,22303,6939,7068,8296,0,9.70E-12
203,385.4344,22455,6988,7121,8346,0,9.75E-12
204,388.56025,22608,7034,7161,8413,0,9.80E-12
205,391.68625,22756,7077,7199,8480,0,9.85E-12
206,394.88809,22901,7115,7244,8542,0,9.90E-12
207,398.03581,23046,7163,7289,8594,0,9.94E-12
208,401.22517,23172,7205,7323,8644,0,9.99E-12
209,404.37014,23292,7234,7358,8700,0,1.00E-11
210,407.64743,23442,7296,7393,8753,0,1.01E-11
211,410.85703,23577,7341,7431,8805,0,1.01E-11
212,414.12865,23718,7384,7467,8867,0,1.02E-11
213,417.28613,23856,7425,7512,8919,0,1.02E-11
214,420.51616,23990,7464,7547,8979,0,1.03E-11
215,423.74707,24131,7507,7589,9035,0,1.03E-11
216,426.98681,24289,7557,7634,9098,0,1.03E-11
217,430.26861,24444,7616,7682,9146,0,1.04E-11
218,433.49995,24580,7662,7716,9202,0,1.04E-11
219,436.85335,24723,7708,7756,9259,0,1.05E-11
220,440.19761,24851,7737,7797,9317,0,1.05E-11
221,443.5211,24999,7786,7830,9383,0,1.06E-11
222,446.93288,25157,7836,7873,9448,0,1.06E-11
223,450.32975,25297,7875,7915,9507,0,1.06E-11
224,453.64792,25429,7916,7967,9546,0,1.07E-11
225,457.02028,25569,7956,8010,9603,0,1.07E-11
226,460.46391,25726,7992,8061,9673,0,1.08E-11
227,463.88334,25852,8030,8098,9724,0,1.08E-11
228,467.18969,26009,8072,8147,9790,0,1.08E-11
229,470.6553,26155,8109,8200,9846,0,1.09E-11
230,474.26342,26308,8153,8243,9912,0,1.09E-11
231,477.74265,26445,8205,8274,9966,0,1.10E-11
232,481.26948,26595,8249,8321,10025,0,1.10E-11
233,484.72186,26737,8288,8370,10079,0,1.10E-11
234,488.22105,26881,8333,8414,10134,0,1.11E-11
235,491.72016,27012,8374,8448,10190,0,1.11E-11
236,495.25018,27171,8433,8496,10242,0,1.12E-11
237,498.77848,27309,8477,8535,10297,0,1.12E-11
238,502.3463,27448,8522,8572,10354,0,1.12E-11
239,505.91348,27598,8574,8610,10414,0,1.13E-11
240,509.59483,27730,8610,8660,10460,0,1.13E-11
241,513.11268,27860,8658,8701,10501,0,1.13E-11
242,516.78138,28006,8705,8743,10558,0,1.14E-11
243,520.37431,28150,8752,8786,10612,0,1.14E-11
244,523.9614,28288,8795,8826,10667,0,1.14E-11
245,527.57715,28425,8837,8867,10721,0,1.15E-11
246,531.31734,28596,8903,8915,10778,0,1.15E-11
247,534.93152,28741,8950,8961,10830,0,1.15E-11
248,538.61702,28882,8985,9002,10895,0,1.16E-11
249,542.27268,29034,9025,9053,10956,0,1.16E-11
250,546.10417,29163,9064,9096,11003,0,1.16E-11
251,549.80281,29305,9097,9138,11070,0,1.17E-11
252,553.68977,29448,9138,9176,11134,0,1.17E-11
253,557.40509,29587,9190,9210,11187,0,1.17E-11
254,561.14145,29716,9230,9246,11240,0,1.18E-11
255,564.8536,29866,9277,9290,11299,0,1.18E-11
256,568.64971,30006,9319,9326,11361,0,1.18E-11
257,572.37174,30153,9364,9374,11415,0,1.19E-11
258,576.25411,30303,9402,9422,11479,0,1.19E-11
259,580.15821,30444,9446,9458,11540,0,1.19E-11
260,584.10963,30593,9494,9495,11604,0,1.20E-11
261,587.97435,30752,9540,9539,11673,0,1.20E-11
262,591.89078,30905,9580,9589,11736,0,1.20E-11
263,595.71802,31031,9616,9627,11788,0,1.21E-11
264,599.61178,31166,9654,9671,11841,0,1.21E-11
265,603.49701,31297,9687,9709,11901,0,1.21E-11
266,607.36437,31459,9737,9748,11974,0,1.22E-11
267,611.27325,31608,9787,9802,12019,0,1.22E-11
268,615.2477,31733,9832,9839,12062,0,1.22E-11
269,619.20541,31850,9865,9875,12110,0,1.22E-11
270,623.2613,32001,9918,9907,12176,0,1.23E-11
271,627.22894,32138,9958,9942,12238,0,1.23E-11
272,631.28661,32269,9994,9978,12297,0,1.23E-11
273,635.21358,32437,10038,10035,12364,0,1.24E-11
274,639.19215,32597,10084,10086,12427,0,1.24E-11
275,643.24014,32745,10125,10129,12491,0,1.24E-11
276,647.28218,32895,10172,10178,12545,0,1.24E-11
277,651.31799,33037,10224,10215,12598,0,1.25E-11
278,655.38573,33180,10273,10247,12660,0,1.25E-11
279,659.4362,33344,10318,10301,12725,0,1.25E-11
280,663.64331,33484,10356,10344,12784,0,1.26E-11
281,667.75497,33637,10405,10392,12840,0,1.26E-11
282,671.96248,33782,10451,10426,12905,0,1.26E-11
283,676.03427,33934,10498,10471,12965,0,1.26E-11
284,680.10258,34091,10537,10531,13023,0,1.27E-11
285,684.20999,34242,10582,10576,13084,0,1.27E-11
286,688.2867,34387,10625,10629,13133,0,1.27E-11
287,692.44752,34537,10665,10681,13191,0,1.27E-11
288,696.70556,34701,10721,10723,13257,0,1.28E-11
289,700.93377,34847,10769,10762,13316,0,1.28E-11
290,705.23266,35007,10820,10807,13380,0,1.28E-11
291,709.46964,35186,10881,10855,13450,0,1.29E-11
292,713.75379,35342,10925,10900,13517,0,1.29E-11
293,717.97676,35471,10959,10933,13579,0,1.29E-11
294,722.26769,35639,11019,10977,13643,0,1.29E-11
295,726.562,35791,11068,11026,13697,0,1.30E-11
296,730.86947,35937,11113,11072,13752,0,1.30E-11
297,735.24484,36067,11145,11120,13802,0,1.30E-11
298,739.47222,36196,11188,11157,13851,0,1.30E-11
299,743.77886,36352,11250,11206,13896,0,1.31E-11
300,748.23451,36527,11303,11261,13963,0,1.31E-11
301,752.69862,36672,11338,11304,14030,0,1.31E-11
302,757.01379,36809,11368,11346,14095,0,1.31E-11
303,761.41912,36957,11410,11395,14152,0,1.32E-11
304,765.83262,37098,11456,11433,14209,0,1.32E-11
305,770.22856,37240,11506,11474,14260,0,1.32E-11
306,774.61442,37402,11548,11523,14331,0,1.32E-11
307,779.08525,37540,11584,11569,14387,0,1.33E-11
308,783.56341,37685,11629,11616,14440,0,1.33E-11
309,788.06966,37824,11672,11654,14498,0,1.33E-11
310,792.59505,37970,11709,11706,14555,0,1.33E-11
311,797.0726,38129,11750,11757,14622,0,1.33E-11
312,801.72895,38281,11810,11793,14678,0,1.34E-11
313,806.2348,38447,11857,11848,14742,0,1.34E-11
314,810.69988,38602,11900,11898,14804,0,1.34E-11
315,815.25728,38749,11943,11937,14869,0,1.34E-11
316,819.83735,38910,11991,11978,14941,0,1.35E-11
317,824.47307,39068,12043,12025,15000,0,1.35E-11
318,829.07332,39230,12109,12062,15059,0,1.35E-11
319,833.68749,39379,12147,12106,15126,0,1.35E-11
320,838.44419,39538,12199,12153,15186,0,1.36E-11
321,843.15773,39705,12247,12209,15249,0,1.36E-11
322,847.89559,39852,12300,12250,15302,0,1.36E-11
323,852.56043,40021,12344,12309,15368,0,1.36E-11
324,857.27142,40166,12398,12349,15419,0,1.37E-11
325,861.97707,40321,12458,12403,15460,0,1.37E-11
326,866.72266,40485,12507,12451,15527,0,1.37E-11
327,871.52648,40638,12555,12504,15579,0,1.37E-11
328,876.27724,40812,12598,12560,15654,0,1.37E-11
329,881.12844,40964,12641,12606,15717,0,1.38E-11
330,885.97229,41112,12691,12641,15780,0,1.38E-11
331,890.85534,41270,12744,12683,15843,0,1.38E-11
332,895.73651,41412,12795,12726,15891,0,1.38E-11
333,900.56857,41571,12835,12775,15961,0,1.39E-11
334,905.39297,41732,12888,12819,16025,0,1.39E-11
335,910.20869,41887,12945,12868,16074,0,1.39E-11
336,915.06038,42042,12994,12914,16134,0,1.39E-11
337,919.96696,42188,13043,12944,16201,0,1.39E-11
338,924.84092,42357,13089,12989,16279,0,1.40E-11
339,929.71542,42532,13149,13038,16345,0,1.40E-11
340,934.75471,42680,13192,13082,16406,0,1.40E-11
341,939.713,42843,13239,13134,16470,0,1.40E-11
342,944.71009,42997,13283,13185,16528,1,1.40E-11
343,949.71852,43144,13323,13228,16591,2,1.41E-11
344,954.82893,43328,13376,13279,16670,3,1.41E-11
345,960.07715,43502,13441,13319,16739,3,1.41E-11
346,965.54985,43652,13495,13360,16793,4,1.41E-11
347,971.05064,43817,13554,13401,16858,4,1.42E-11
348,976.61006,43971,13597,13459,16910,5,1.42E-11
349,982.08067,44111,13646,13492,16967,6,1.42E-11
350,987.55836,44280,13709,13541,17021,9,1.42E-11
351,993.15679,44436,13766,13586,17072,12,1.42E-11
352,998.69207,44577,13798,13634,17131,14,1.43E-11
353,1004.2649,44736,13851,13673,17193,19,1.43E-11
354,1009.8169,44901,13897,13726,17258,20,1.43E-11
355,1015.3887,45050,13935,13776,17315,24,1.43E-11
356,1020.971,45213,13980,13823,17385,25,1.43E-11
357,1026.6694,45399,14044,13876,17449,30,1.44E-11
358,1032.5148,45586,14098,13941,17515,32,1.44E-11
359,1038.2467,45760,14147,13985,17591,37,1.44E-11
360,1044.1885,45923,14195,14025,17664,39,1.44E-11
